County,"Population, Total","Population, Male","Population, Female","Population, Intersex",Sex Ratio (No. of Males per 100 Females),Population Density (No. per Sq. Km),Number of Households,Average Household size,Land Area (Sq. Km),%of_pop_financially_healthy
Baringo,666763,336322,330428,13,101.7837471,61,142518,5,10976.4,15.1
Bomet,875689,434287,441379,23,98.39321762,346,187641,5,2530.9,13.2
Bungoma,1670570,812146,858389,35,94.6128154,552,358796,5,3023.9,18.3
Busia,893681,426252,467401,28,91.19621053,527,198152,4,1696.3,19.5
Embu,608599,304208,304367,24,99.94776043,216,182743,3,2820.7,14.9
Garissa,841353,458975,382344,34,120.0424225,19,141394,6,44736,2.4
Homa Bay,1131950,539560,592367,23,91.08542508,359,262036,4,3152.5,15.1
Isiolo,268002,139510,128483,9,108.5824584,11,58072,5,25350.6,20.3
Kajiado,1117840,557098,560704,38,99.35687992,51,316179,4,21871.1,27.7
Kakamega,1867579,897133,970406,40,92.44924289,618,433207,4,3020,11.4
Kericho,901777,450741,451008,28,99.94079928,370,206036,4,2436.1,17.6
Kiambu,2417735,1187146,1230454,135,96.48032352,952,795241,3,2538.6,29.9
Kilifi,1453787,704089,749673,25,93.91948223,116,298472,5,12539.7,9.5
Kirinyaga,610411,302011,308369,31,97.93818445,413,204188,3,1478.3,29.5
Trans Nzoia,990341,489107,501206,28,97.58602251,397,223808,4,2495.2,37
Kisii,1266860,605784,661038,38,91.64132773,958,308054,4,1323,10.2
Kisumu,1155574,560942,594609,23,94.3379599,554,300745,4,2085.4,15.7
Kitui,1136187,549003,587151,33,93.50286383,37,262942,4,30429.5,10.5
Kwale,866820,425121,441681,18,96.25068771,105,173176,5,8267.1,4.9
Laikipia,518560,259440,259102,18,100.1304506,54,149271,3,9532.2,26.3
Lamu,143920,76103,67813,4,112.2247947,23,37963,4,6253.3,16.3
Machakos,1421932,710707,711191,34,99.93194515,235,402466,4,6042.7,18.7
Makueni,987653,489691,497942,20,98.3429797,121,244669,4,8169.8,9
Mandera,867457,434976,432444,37,100.5855093,33,125763,7,25939.8,16.1
Marsabit,459785,243548,216219,18,112.6394998,6,77495,6,70944.1,3.2
Meru,1545714,767698,777975,41,98.67900639,221,426360,4,7006.3,11.1
Migori,1116436,536187,580214,35,92.41193766,427,240168,5,2613.5,15.1
Mombasa,1208333,610257,598046,30,102.0418162,5495,378422,3,219.9,14.4
Murang'a,1056640,523940,532669,31,98.36127126,419,318105,3,2524.2,27.6
Nairobi,4397073,2192452,2204376,245,99.45907595,6247,1506888,3,703.9,35.3
Nakuru,2162202,1077272,1084835,95,99.30284329,290,616046,3,7462.4,16.9
Nandi,885711,441259,444430,22,99.28650181,310,199426,4,2855.8,13.2
Narok,1157873,579042,578805,26,100.0409464,65,241125,5,17950.3,12.2
Nyamira,605576,290907,314656,13,92.45239245,675,150669,4,897.3,11.2
Nyandarua,638289,315022,323247,20,97.45550616,194,179686,4,3285.7,21
Nyeri,759164,374288,384845,31,97.25681768,228,248050,3,3325,26.8
Samburu,310327,156774,153546,7,102.1023016,15,65910,5,21065.1,13.4
Siaya,993183,471669,521496,18,90.44537254,393,250698,4,2529.8,26.7
Tana River,315943,158550,157391,2,100.7363826,8,68242,5,37950.5,2.5
Tharaka Nithi,393177,193764,199406,7,97.17059667,153,109860,4,2564.4,17.8
Turkana,926976,478087,448868,21,106.5094861,14,164519,6,68232.9,6.1
Uasin Gishu,1163186,580269,582889,28,99.55051476,343,304943,4,3392.2,10.7
Vihiga,590013,283678,306323,12,92.60747642,1047,143365,4,563.8,17.8
Wajir,781263,415374,365840,49,113.5397988,14,127932,6,56773.1,18
West Pokot,621241,307013,314213,15,97.70856075,68,116182,5,9123.2,16.3
Elgeyo Marakwet,454480,227317,227151,12,100.0730791,150,99861,5,3032,14.3
Taita Taveta,340671,173337,167327,7,103.5917694,20,96429,3,17152,20.8
